fecha,granja,tipo_alimento,origen_alimento,cantidad

2015-08-19,Potrerillos 3,Crecimiento,Engorda Anterior,11915

2015-08-25,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15190

2015-08-27,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15765

2015-08-29,Potrerillos 3,Crecimiento,Potrerillos 2,2400

2015-09-01,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15825

2015-09-03,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,14675

2015-09-04,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,12365

2015-09-05,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,17585

2015-09-08,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15130

2015-09-09,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,14765

2015-09-10,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,14840

2015-09-11,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,14950

2015-09-14,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14590

2015-09-15,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,12165

2015-09-16,Potrerillos 3,Crecimiento,Potrerillos 2,9145

2015-09-16,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,8355

2015-09-17,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,8950

2015-09-17,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,5980

2015-09-18,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,5450

2015-09-18,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,12205

2015-09-19,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15145

2015-09-21,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14970

2015-09-22,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,15175

2015-09-23,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15310

2015-06-24,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14885

2015-09-25,Potrerillos 3,Crecimiento,Planta de Alimentos Sanfandila,14485

2015-09-26,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14860

2015-09-28,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15315

2015-09-29,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15445

2015-09-30,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14725

2015-10-01,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15285

2015-10-02,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15455

2015-10-03,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,15040

2015-10-05,Potrerillos 3,Engorda 5,Planta de Alimentos Sanfandila,16150

2015-10-06,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14645

2015-10-07,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,17990

2015-10-08,Potrerillos 3,Engorda 5,Planta de Alimentos Sanfandila,16710

2015-10-09,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,17450

2015-10-10,Potrerillos 3,Desarrollo,Planta de Alimentos Sanfandila,14570
